facility_id,obligor_id,obligor_name,group_id,group_name,country,region,sector,product_type,internal_rating,rating_band,currency,limit_amount,outstanding_amount,undrawn_amount,collateral_value,origination_date,maturity_date,interest_rate,is_defaulted
1,183,Obligor_0183,8,Group_008,UK,North America,Transport,Derivatives,4,Investment_Grade,USD,110000.0,50186.0,59814.0,22768.0,2022-08-05,2023-10-26,0.0436,0
2,90,Obligor_0090,33,Group_033,CN,LATAM,Retail,Term_Loan,5,Sub_IG,EUR,750000.0,561751.0,188249.0,623818.0,2021-03-12,2022-11-28,0.0468,0
3,117,Obligor_0117,46,Group_046,KZ,LATAM,Manufacturing,Term_Loan,3,Investment_Grade,EUR,210000.0,117823.0,92177.0,13373.0,2023-11-04,2026-12-26,0.0361,0
4,62,Obligor_0062,20,Group_020,JP,APAC,Energy,Term_Loan,3,Investment_Grade,USD,520000.0,305324.0,214676.0,344305.0,2020-10-17,2025-02-21,0.0368,0
5,23,Obligor_0023,73,Group_073,CN,North America,Transport,Guarantee,2,Investment_Grade,USD,1890000.0,1168682.0,721318.0,1010757.0,2016-01-28,2019-07-29,0.0345,0
6,127,Obligor_0127,67,Group_067,FR,LATAM,Retail,Revolver,2,Investment_Grade,GBP,230000.0,149603.0,80397.0,230582.0,2018-01-13,2021-08-13,0.0322,0
7,137,Obligor_0137,23,Group_023,JP,EMEA,Retail,Term_Loan,1,Investment_Grade,EUR,80000.0,46140.0,33860.0,9577.0,2015-09-24,2020-05-03,0.0273,0
8,140,Obligor_0140,2,Group_002,JP,LATAM,TMT,Term_Loan,1,Investment_Grade,EUR,360000.0,231459.0,128541.0,0.0,2017-12-28,2023-03-12,0.0295,0
9,129,Obligor_0129,25,Group_025,DE,LATAM,Utilities,Revolver,9,Watchlist,USD,960000.0,878999.0,81001.0,683867.0,2016-09-02,2019-07-22,0.0601,0
10,58,Obligor_0058,19,Group_019,UK,LATAM,TMT,Term_Loan,2,Investment_Grade,EUR,1740000.0,1386936.0,353064.0,55970.0,2018-10-02,2024-08-08,0.0348,0
11,122,Obligor_0122,53,Group_053,BR,APAC,Real_Estate,Derivatives,5,Sub_IG,USD,190000.0,147028.0,42972.0,105249.0,2017-10-05,2021-01-20,0.0486,0
12,1,Obligor_0001,2,Group_002,JP,LATAM,TMT,Revolver,6,Sub_IG,EUR,630000.0,320602.0,309398.0,438189.0,2017-08-19,2021-01-12,0.0552,0
13,34,Obligor_0034,20,Group_020,JP,APAC,Energy,Revolver,4,Investment_Grade,USD,320000.0,135089.0,184911.0,158381.0,2022-08-07,2023-09-24,0.0427,0
14,96,Obligor_0096,38,Group_038,JP,North America,Manufacturing,Revolver,2,Investment_Grade,EUR,410000.0,324335.0,85665.0,187799.0,2025-12-12,2027-09-30,0.0353,0
15,126,Obligor_0126,33,Group_033,CN,LATAM,Retail,Derivatives,5,Sub_IG,GBP,2820000.0,2186090.0,633910.0,1410663.0,2016-11-03,2022-05-12,0.0448,0
16,118,Obligor_0118,6,Group_006,DE,LATAM,Utilities,Revolver,4,Investment_Grade,USD,150000.0,134180.0,15820.0,91403.0,2021-10-06,2024-03-24,0.0409,0
